time,uninter_price,counts,location,tier,distance,sign,type,age,land_square,building_square,room,hall,toilet,total_price,berth_square,berth_price,intered_price
10549,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10550,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10551,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10552,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10553,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10610,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10611,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10612,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10613,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10614,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10615,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10616,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10617,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10618,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10619,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10620,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10621,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10622,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10623,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10624,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10625,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10626,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10627,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10628,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10629,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10630,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10631,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10632,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10633,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10634,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10635,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10636,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10637,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10638,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10639,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10640,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10641,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10642,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10643,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10644,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10645,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10646,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10647,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10648,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10649,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10650,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10651,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10652,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10653,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10710,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10711,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10712,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10713,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10714,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10715,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10716,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10717,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10718,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10719,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10720,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10721,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10722,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10723,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10724,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10725,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10726,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10727,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10728,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10729,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10730,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10731,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10732,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10733,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10734,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10735,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10736,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10737,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10738,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10739,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10740,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10741,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10742,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10743,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10744,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10745,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10746,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10747,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10748,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10749,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10750,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10751,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10752,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10753,0,0,4,2,27.58,4,2,0,0,0,0,0,0,0,0,0,0
10110,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10111,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10112,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10113,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10114,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10115,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10116,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10117,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10118,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10119,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10120,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10121,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10122,36828,1,8,4,88.83,1,2,0,11,94,2,2,1,2,0,0,36828
10123,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10124,41291,1,8,4,88.83,1,2,0,14,119,3,2,2,2,0,0,41291
10125,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10126,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10127,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10128,38791,1,8,4,88.83,1,2,0,19,159,4,2,2,2,0,0,38791
10129,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10130,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10131,40175,1,8,4,88.83,1,2,0,11,92,2,2,1,2,0,0,40175
10132,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10133,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10134,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10135,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10136,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10137,38410,1,8,4,88.83,1,2,0,14,120,3,2,2,2,0,0,38410
10138,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10139,37773,1,8,4,88.83,1,2,0,11,92,2,2,1,2,0,0,37773
10140,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10141,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10142,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10143,37121,3,8,4,88.83,1,2,0,11,97,2,2,1,2393334,0,0,37121
10144,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10145,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10146,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10147,63999,1,8,4,88.83,1,2,0,14,117,0,1,1,2,0,0,63999
10148,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10149,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10150,38850,1,8,4,88.83,1,2,0,11,94,2,2,1,2,0,0,38850
10151,37254,1,8,4,88.83,1,2,0,11,94,2,2,1,2,0,0,37254
10152,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10153,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,41049
10210,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10211,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10212,39496,2,8,4,88.83,1,2,0,14,120,3,2,2,2375001,0,0,39496
10213,35707,1,8,4,88.83,1,2,0,11,97,2,2,1,2,0,0,35707
10214,38318,1,8,4,88.83,1,2,0,11,94,2,2,1,2,0,0,38318
10215,59226,1,8,4,88.83,1,2,0,13,110,0,1,1,2,0,0,59226
10216,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10217,38294,1,8,4,88.83,1,2,0,11,97,2,2,1,2,0,0,38294
10218,38210,1,8,4,88.83,1,2,0,11,92,2,2,1,2,0,0,38210
10219,38191,1,8,4,88.83,1,2,0,11,97,2,2,1,2,0,0,38191
10220,38354,3,8,4,88.83,1,2,0,12,101,2,2,1,2713334,0,0,38354
10221,38319,1,8,4,88.83,1,2,0,11,92,2,2,1,2,0,0,38319
10222,38210,1,8,4,88.83,1,2,0,11,92,2,2,1,2,0,0,38210
10223,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10224,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10225,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10226,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10227,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10228,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10229,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10230,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10231,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10232,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10233,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10234,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10235,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10236,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10237,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10238,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10239,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10240,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10241,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10242,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10243,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10244,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10245,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10246,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10247,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10248,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10249,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10250,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10251,51107,11,8,4,88.83,1,2,0,81,235,8,1,8,11785455,0,0,51107
10252,50780,7,8,4,88.83,1,2,0,68,199,6,1,6,9462857,0,0,50780
10253,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,42018
10310,46141,3,8,4,88.83,1,2,0,12,94,3,0,3,2906667,0,0,46141
10311,47088,2,8,4,88.83,1,2,0,12,93,3,0,3,2115001,0,0,47088
10312,47681,1,8,4,88.83,1,2,0,12,93,3,0,3,2,0,0,47681
10313,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10314,46602,1,8,4,88.83,1,2,0,12,93,3,0,3,2,0,0,46602
10315,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10316,50160,2,8,4,88.83,1,2,0,46,145,4,1,4,5290001,0,0,50160
10317,50296,2,8,4,88.83,1,2,0,46,145,4,1,4,5180001,0,0,50296
10318,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10319,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10320,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10321,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10322,46741,1,8,4,88.83,1,2,0,10,79,3,0,3,2,0,0,46741
10323,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10324,47722,1,8,4,88.83,1,2,0,10,79,3,0,3,2,0,0,47722
10325,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10326,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10327,47094,2,8,4,88.83,1,2,0,12,93,3,0,3,2140001,0,0,47094
10328,46923,1,8,4,88.83,1,2,0,12,94,3,0,3,2,0,0,46923
10329,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10330,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10331,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10332,48544,1,8,4,88.83,1,2,0,12,93,3,0,3,2,0,0,48544
10333,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10334,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10335,46923,1,8,4,88.83,1,2,0,12,94,3,0,3,2,0,0,46923
10336,49085,2,8,4,88.83,1,2,0,13,106,4,0,4,2300001,0,0,49085
10337,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10338,47878,1,8,4,88.83,1,2,0,10,79,3,0,3,2,0,0,47878
10339,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
10340,0,0,8,4,88.83,1,2,0,0,0,0,0,0,0,0,0,47918
